test_day,gain_value,loss_value,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg
149.0,316.25,457.05000000000007,1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,59.0,1.0,3.0,0.0,343.0,146.0,163.0,16.0
150.0,631.05,362.9,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,47.0,2.0,2.0,0.0,299.0,124.0,145.0,8.0
151.0,1018.85,365.2,5.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,52.0,3.0,7.0,0.0,336.0,148.0,170.0,13.0
152.0,853.3,1075.8999999999999,1.0,3.0,1.0,0.0,4.0,3.0,2.0,1.0,75.0,8.0,2.0,0.0,627.0,292.0,662.0,10.0
153.0,1928.2,635.45,7.0,0.0,2.0,1.0,2.0,3.0,1.0,0.0,66.0,17.0,7.0,0.0,608.0,271.0,163.0,12.0
154.0,575.5999999999999,937.0500000000001,4.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,79.0,11.0,1.0,0.0,662.0,271.0,177.0,15.0
155.0,607.85,626.05,2.0,1.0,1.0,0.0,4.0,1.0,2.0,0.0,63.0,9.0,6.0,0.0,521.0,200.0,168.0,14.0
156.0,307.05,43.349999999999994,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,49.0,3.0,5.0,0.0,335.0,120.0,171.0,13.0
157.0,1120.55,809.0999999999999,3.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,35.0,3.0,4.0,0.0,336.0,139.0,157.0,15.0
158.0,289.65,494.75,3.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,46.0,6.0,7.0,0.0,344.0,125.0,152.0,9.0
159.0,124.3,423.05,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,51.0,4.0,3.0,0.0,325.0,133.0,163.0,6.0
160.0,3288.15,432.24999999999994,1.0,1.0,3.0,0.0,4.0,1.0,1.0,0.0,46.0,1.0,4.0,0.0,314.0,146.0,160.0,6.0
161.0,676.3499999999999,65.65,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,47.0,2.0,2.0,0.0,349.0,131.0,154.0,5.0
162.0,183.05,653.3,3.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,53.0,3.0,2.0,0.0,331.0,129.0,148.0,6.0
163.0,152.0,190.64999999999998,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,44.0,4.0,3.0,0.0,327.0,127.0,146.0,7.0
164.0,216.3,456.55,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,53.0,0.0,1.0,0.0,358.0,140.0,166.0,10.0
165.0,108.25,562.4,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,43.0,7.0,8.0,0.0,319.0,141.0,157.0,9.0
166.0,1743.35,130.89999999999998,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,43.0,3.0,5.0,0.0,340.0,124.0,138.0,9.0
167.0,101.85,205.15,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,57.0,6.0,2.0,0.0,337.0,154.0,143.0,10.0
